t_start,t_end,A_score,G_score,label
24.825,27.825,0.4601829857274348,0.6844641163638086,Attentive
25.825,28.825,0.4601829857274348,0.5864126663420146,Attentive
26.825,29.825,0.4489315939171773,0.5019162848196144,Attentive
27.825,30.825,0.4489315939171773,0.526049774408066,Attentive
28.825,31.825,0.488464551321062,0.536259604469705,Attentive
29.825,32.825,0.5281423400370479,0.5256005034627534,Attentive
30.825,33.825,0.6032486585798503,0.5292340947504512,Attentive
31.825,34.825,0.6247559700437054,0.5437549274955334,Attentive
32.825,35.825,0.6167432676867435,0.5166863613257742,Attentive
33.825,36.825,0.6167432676867435,0.4415640551369385,Attentive
34.825,37.825,0.6247559700437054,0.4254837072415631,Attentive
35.825,38.825,0.6140579681095637,0.5087440797953597,Attentive
36.825,39.825,0.6140579681095637,0.7074311375217273,Attentive
37.825,40.825,0.5139864610705766,0.713440640637377,Attentive
38.825,41.825,0.5478797587903613,0.5673104983202572,Attentive
39.825,42.825,0.5478797587903613,0.4096456271204193,Attentive
40.825,43.825,0.6086666394469175,0.4493851128494173,Attentive
41.825,44.825,0.5562964037231547,0.46645059652317206,Attentive
42.825,45.825,0.5394356389565056,0.4942089562631063,Attentive
43.825,46.825,0.5506885941202796,0.483529228360222,Attentive
44.825,47.825,0.6167432676867435,0.41028222433976286,Attentive
45.825,48.825,0.6005300497232291,0.3491957168840531,Attentive
46.825,49.825,0.6431824363639302,0.348805608966684,Attentive
47.825,50.825,0.6113657097436018,0.3448713342943672,Attentive
48.825,51.825,0.6353335361925395,0.33199210250781663,Attentive
49.825,52.825,0.5840934810100132,0.31520632201190085,Attentive
50.825,53.825,0.6483729540874651,0.31384743290342904,Attentive
51.825,54.825,0.6560931186549027,0.32655547836920373,Attentive
52.825,55.825,0.6909939566662175,0.34053045404911997,Attentive
53.825,56.825,0.619421463268652,0.34001127163213435,Attentive
54.825,57.825,0.5950743609907954,0.3610362477392612,Attentive
55.825,58.825,0.6086666394469175,0.3556038086414926,Attentive
56.825,59.825,0.6812208106072205,0.3525823889683252,Attentive
57.825,60.825,0.6327009180485684,0.41475510941832655,Attentive
58.825,61.825,0.4941355744771588,0.4355231010140861,Attentive
59.825,62.825,0.3882696061310564,0.6399662876952713,Attentive
60.825,63.825,0.3308828083504012,0.6963394143395403,Aggressive
61.825,64.825,0.39910173589440096,0.763713388616586,Aggressive
62.825,65.825,0.3963839789005565,0.7132539900241145,Aggressive
63.825,66.825,0.4827964960781642,0.7439760532677198,Aggressive
64.825,67.825,0.5026444831556169,0.6254901059935762,Attentive
65.825,68.825,0.53096882238424,0.5843558419325324,Attentive
